연번,년도,프로그램,파견학기,소속대학(원),소속학과,파견국,파견자매대학,,,,,,,,,
1,2020,교환,2020.1학기,공과대학,고분자공학과,싱가포르,난양이공대학,,,,,,,,,
2,2020,교환,2020.1학기,사범대학,영어교육과,영국,에식스대학,,,,,,,,,
3,2020,교환,2020.1학기,경제통상대학,무역학부,영국,서식스대학,,,,,,,,,
4,2020,교환,2020.1학기,경영대학,경영학과,캐나다,매니토바대학,,,,,,,,,
5,2020,교환,2020.1학기,경영대학,경영학과,스페인,라스팔마스대학,,,,,,,,,
6,2020,교환,2020.1학기,생활환경대학,실내환경디자인학과,스페인,나바라대학,,,,,,,,,
7,2020,교환,2020.1학기,경영대학,경영학과,싱가포르,싱가포르경영대학,,,,,,,,,
8,2020,교환,2020.1학기,생활환경대학,식품영양학과,영국,센트럴랭커셔대학 (UCLAN),,,,,,,,,
9,2020,교환,2020.1학기,사회과학대학,문헌정보학과,독일,푸트르방겐대학,,,,,,,,,
10,2020,교환,2020.1학기,공과대학,조선·해양공학과,프랑스,쎄르지뽕뚜아즈대학,,,,,,,,,
11,2020,교환,2020.1학기,경제통상대학,무역학부,일본,리츠메이칸대학,,,,,,,,,
12,2020,교환,2020.1학기,대학원(석),일어일문학과,캐나다,몬트리올대학,,,,,,,,,
13,2020,교환,2020.1학기,인문대학,불어불문학과,호주,퀸즐랜드대학,,,,,,,,,
14,2020,교환,2020.1학기~2020.2학기,공과대학,기계공학부,싱가포르,난양이공대학,,,,,,,,,
15,2020,교환,2020.1학기,경영대학,경영학과,독일,브레멘응용과학대학 사회과학대,,,,,,,,,
16,2020,교환,2020.1학기,사회과학대학,심리학과,핀란드,이위베스퀼레대학,,,,,,,,,
17,2020,교환,2020.1학기,자연과학대학,생명과학과,독일,뮌헨응용과학대학,,,,,,,,,
18,2020,교환,2020.1학기,경영대학,경영학과,호주,커튼대학,,,,,,,,,
19,2020,교환,2020.1학기,사범대학,특수교육과,프랑스,보르도몽테뉴대학,,,,,,,,,
20,2020,교환,2020.1학기,사회과학대학,사회복지학과,영국,센트럴랭커셔대학 (UCLAN),,,,,,,,,
21,2020,교환/SAM,2020.1학기,자연과학대학,수학과,스위스,취리히대학,,,,,,,,,
22,2020,교환,2020.1학기,인문대학,언어정보학과,핀란드,이위베스퀼레대학,,,,,,,,,
23,2020,교환,2020.1학기,사회과학대학,정치외교학과,라트비아,라트비아대학,,,,,,,,,
24,2020,교환,2020.1학기,경영대학,경영학과,체코,오스트라바대학,,,,,,,,,
25,2020,교비/글로벌,2020.1학기,경영대학,경영학과,캐나다,구엘프대학,,,,,,,,,
26,2020,교환,2020.1학기,인문대학,영어영문학과,스웨덴,린네대학,,,,,,,,,
27,2020,교환,2020.1학기,생활환경대학,식품영양학과,아일랜드,코크대학,,,,,,,,,
28,2020,교환,2020.1학기,인문대학,영어영문학과,독일,푸트르방겐대학,,,,,,,,,
29,2020,교환/단위기관,2020.1학기,공과대학,건설융합학부,오스트리아,비엔나공과대학,,,,,,,,,
30,2020,교환,2020.1학기,경제통상대학,무역학부,캐나다,몬트리올대학,,,,,,,,,
31,2020,교환,2020.1학기,경제통상대학,경제학부,러시아,북동연방대학,,,,,,,,,
32,2020,교환/SAM,2020.1학기,자연과학대학,해양학과,덴마크,코펜하겐대학,,,,,,,,,
33,2020,교환/SAM,2020.1학기,인문대학,중어중문학과,스위스,취리히대학,,,,,,,,,
34,2020,교환,2020.1학기,자연과학대학,분자생물학과,독일,에어랑엔-뉘른베르크대학,,,,,,,,,
35,2020,교환,2020.1학기,경제통상대학,경제학부,스페인,나바라대학,,,,,,,,,
36,2020,교환,2020.1학기,간호대학,간호학과,스페인,나바라대학,,,,,,,,,
37,2020,교환,2020.1학기,인문대학,영어영문학과,독일,만하임대학,,,,,,,,,
38,2020,교환/단위기관,2020.1학기,인문대학,노어노문학과,러시아,카잔연방대학,,,,,,,,,
39,2020,교환,2020.1학기,사범대학,유아교육과,독일,밤베르크대학,,,,,,,,,
40,2020,교환,2020.1학기,경영대학,경영학과,독일,SHR하이델베르크대학,,,,,,,,,
41,2020,교환,2020.1학기,경영대학,경영학과,독일,밤베르크대학,,,,,,,,,
42,2020,교환,2020.1학기,경제통상대학,국제학부,미국,뉴햄프셔대학 (UNH),,,,,,,,,
43,2020,교환,2020.1학기,경제통상대학,무역학부,스웨덴,쇠데르테른대학,,,,,,,,,
44,2020,교환,2020.1학기,예술대학,예술문화영상학과,핀란드,이위베스퀼레대학,,,,,,,,,
45,2020,교환,2020.1학기,인문대학,중어중문학과,대만,국립정치대학,,,,,,,,,
46,2020,교환/SAM,2020.1학기,인문대학,영어영문학과,덴마크,코펜하겐대학,,,,,,,,,
47,2020,교환,2020.1학기,인문대학,중어중문학과,대만,국립대만대학,,,,,,,,,
48,2020,교환,2020.1학기,인문대학,영어영문학과,프랑스,리용3대학,,,,,,,,,
49,2020,교환,2020.1학기,인문대학,영어영문학과,스페인,부르고스대학,,,,,,,,,
50,2020,교환,2020.1학기,인문대학,영어영문학과,크로아티아,자그레브경제경영대학,,,,,,,,,
51,2020,교환,2020.1학기,생활환경대학,식품영양학과,에스토니아,타르투대학,,,,,,,,,
52,2020,교환,2020.1학기,경제통상대학,경제학부,미국,뉴햄프셔대학 (UNH),,,,,,,,,
53,2020,교환,2020.1학기,인문대학,영어영문학과,프랑스,쎄르지뽕뚜아즈대학,,,,,,,,,
54,2020,교환,2020.1학기,나노과학기술대학,나노에너지공학과,독일,레겐스부르크대학,,,,,,,,,
55,2020,교비/글로벌,2020.1학기,생활환경대학,의류학과,영국,셰필드대학,,,,,,,,,
56,2020,교환,2020.1학기,경영대학,경영학과,스웨덴,쇠데르테른대학,,,,,,,,,
57,2020,교비/글로벌,2020.1학기,경제통상대학,무역학부,캐나다,구엘프대학,,,,,,,,,
58,2020,교환,2020.1학기,경제통상대학,무역학부,캐나다,매니토바대학,,,,,,,,,
59,2020,교환,2020.1학기,인문대학,사학과,핀란드,이위베스퀼레대학,,,,,,,,,
60,2020,교환,2020.1학기,인문대학,언어정보학과,영국,에식스대학,,,,,,,,,
61,2020,교환/단위기관,2020.1학기~2020.2학기,공과대학,건설융합학부,오스트리아,비엔나공과대학,,,,,,,,,
62,2020,교환,2020.1학기,인문대학,영어영문학과,스웨덴,쇠데르테른대학,,,,,,,,,
63,2020,교환,2020.1학기,인문대학,일어일문학과,영국,센트럴랭커셔대학 (UCLAN),,,,,,,,,
64,2020,교비,2020.1학기,인문대학,영어영문학과,미국,네브라스카주립대학(커니),,,,,,,,,
65,2020,교환,2020.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
66,2020,교환,2020.1학기,경제통상대학,국제학부,독일,레겐스부르크대학,,,,,,,,,
67,2020,교환,2020.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
68,2020,교환,2020.1학기,경제통상대학,경제학부,미국,뉴욕주립대학(오스웨고),,,,,,,,,
69,2020,교환/단위기관,2020.1학기,대학원(석),경영학과 경영학전공,일본,교토대학(경영대학원),,,,,,,,,
70,2020,교환/단위기관,2020.1학기~2020.2학기,사범대학,독어교육과,독일,함부르크대학,,,,,,,,,
71,2020,교환,2020.1학기,경제통상대학,국제학부,호주,뉴사우스웨일스대학,,,,,,,,,
72,2020,교환/캠퍼스아시아사업,2020.1학기,학부생,건축학과,중국,동제대학,,,,,,,,,
73,2020,교환,2020.1학기,사회과학대학,정치외교학과,싱가포르,난양이공대학,,,,,,,,,
74,2020,교환,2020.1학기,공과대학,전자공학과,핀란드,투르쿠대학,,,,,,,,,
75,2020,교환,2020.1학기,인문대학,한문학과,호주,뉴사우스웨일스대학,,,,,,,,,
76,2020,교환,2020.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
77,2020,교환,2020.1학기,공과대학,화공생명.환경공학부,영국,센트럴랭커셔대학 (UCLAN),,,,,,,,,
78,2020,교환,2020.1학기,경영대학,경영학과,리투아니아,빌뉴스대학,,,,,,,,,
79,2020,교환,2020.1학기,경영대학,경영학과,핀란드,이위베스퀼레대학,,,,,,,,,
80,2020,교환,2020.1학기,인문대학,중어중문학과,대만,국립정치대학,,,,,,,,,
81,2020,교환,2020.1학기,사회과학대학,신문방송학과,체코,오스트라바대학,,,,,,,,,
82,2020,교환,2020.1학기,인문대학,불어불문학과,핀란드,이위베스퀼레대학,,,,,,,,,
83,2020,교환,2020.1학기,경영대학,경영학과,핀란드,이위베스퀼레대학,,,,,,,,,
84,2020,교환,2020.1학기,경영대학,경영학과,핀란드,이위베스퀼레대학,,,,,,,,,
85,2020,교환,2020.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
86,2020,교환/단위기관,2020.1학기,사범대학,독어교육과,독일,함부르크대학,,,,,,,,,
87,2020,교비/글로벌,2020.1학기,생활환경대학,의류학과,영국,셰필드대학,,,,,,,,,
88,2020,교환,2020.1학기,인문대학,노어노문학과,러시아,북동연방대학,,,,,,,,,
89,2020,교환,2020.1학기,경영대학,경영학과,캐나다,레이크헤드대학,,,,,,,,,
90,2020,교환,2020.1학기,생활환경대학,실내환경디자인학과,스페인,폼페우파브라대학,,,,,,,,,
91,2020,교환,2020.1학기,공과대학,산업공학과,프랑스,쎄르지뽕뚜아즈대학,,,,,,,,,
92,2020,교환,2020.1학기,사회과학대학,사회학과,덴마크,코펜하겐대학,,,,,,,,,
93,2020,교환,2020.1학기,인문대학,영어영문학과,프랑스,ESCE 국제경영대학 (ESCE),,,,,,,,,
94,2020,교환/SAM,2020.1학기,인문대학,불어불문학과,싱가포르,난양이공대학,,,,,,,,,
95,2020,자비,2020.1학기~2020.2학기,스포츠과학부,스포츠과학부,스위스,취리히공과대학,,,,,,,,,
96,2020,교환,2020.1학기,사회과학대학,사회학과,독일,만하임대학,,,,,,,,,
97,2020,교환,2020.2학기,공과대학,재료공학부,리투아니아,빌뉴스대학,,,,,,,,,
98,2020,교환,2020.2학기,인문대학,사학과,독일,에어랑엔 뉘른베르크대학,,,,,,,,,
99,2020,교환,2020.2학기,자연과학대학,분자생물학과,독일,뮌헨응용과학대학,,,,,,,,,
100,2020,교환,2020.2학기,인문대학,불어불문학과,프랑스,장조레스뚤레주대학,,,,,,,,,
101,2020,교환,2020.2학기,생명자원과학대학,식물생명과학과,중국,상해교통대학,,,,,,,,,
102,2020,교환,2020.2학기,사범대학,윤리교육과,아일랜드,더블린시티대학,,,,,,,,,
103,2020,교환,2020.2학기,공과대학,건설융합학부,오스트리아,인스부르크 MCI,,,,,,,,,
104,2020,복수학위/캠퍼스아시아사업,2020.2학기,대학원(석),건축학과,중국,동제대학,,,,,,,,,
105,2020,복수학위/캠퍼스아시아사업,2020.2학기,대학원(석),건축학과,일본,규슈대학,,,,,,,,,
106,2020,복수학위/캠퍼스아시아사업,2020.2학기,대학원(석),건축학과,일본,규슈대학,,,,,,,,,
107,2020,복수학위/캠퍼스아시아사업,2020.2학기,대학원(석),건축학과,일본,규슈대학,,,,,,,,,
108,2020,복수학위/캠퍼스아시아사업,2020.2학기,대학원(석),건축학과,일본,규슈대학,,,,,,,,,
109,2021,복수학위/캠퍼스아시아사업,2021.1학기,대학원(석),건축학과,중국,동제대학,,,,,,,,,
110,2021,교환/SAM,2021.1학기,사회과학대학,정치외교학과,스위스,취리히대학,,,,,,,,,
111,2021,교환/SAM,2021.1학기~2021.2학기,자연과학대학,물리학과,스위스,취리히대학,,,,,,,,,
112,2021,교환,2021.1학기~2021.2학기,자연과학대학,생명과학과,독일,뮌헨공대,,,,,,,,,
113,2021,교환,2021.1학기~2021.2학기,공과대학,건설융합학부,독일,뮌헨공대,,,,,,,,,
114,2021,교환,2021.1학기,인문대학,중어중문학과,중국,상해교통대학,,,,,,,,,
115,2021,교환,2021.1학기,경영대학,경영학과,중국,상해교통대학,,,,,,,,,
116,2021,교환,2021.1학기,사회과학대학,문헌정보학과,핀란드,이위베스퀼레대학,,,,,,,,,
117,2021,교환(온라인),2021.1학기,인문대학,한문학과,일본,사이타마대학,,,,,,,,,
118,2021,교환(온라인),2021.1학기~2021.2학기,인문대학,일어일문학과,일본,관서학원대학,,,,,,,,,
119,2021,교환(온라인),2021.1학기,사회과학대학,정치외교학과,독일,오스나브뤼크응용과학대학,,,,,,,,,
120,2021,교환(온라인),2021.1학기,인문대학,중어중문학과,중국,산동대학,,,,,,,,,
121,2021,교환,2021.1학기~2021.2학기,생활환경대학,식품영양학과,독일,오스나브뤼크응용과학대학 ,,,,,,,,,
122,2021,교환(온라인),2021.1학기,인문대학,일어일문학과,일본,사이타마대학,,,,,,,,,
123,2021,교환,2021.1학기~2021.2학기,인문대학,영어영문학과,영국,서식스대학,,,,,,,,,
124,2021,교환(온라인),2021.1학기,인문대학,일어일문학과,일본,오사카대학,,,,,,,,,
125,2021,교환,2021.1학기~2021.2학기,공과대학,전기컴퓨터공학부,폴란드,야기엘론스키대학,,,,,,,,,
126,2021,교환/단위기관(온라인),2021.1학기~2021.2학기,인문대학,철학과,일본,조치대학,,,,,,,,,
127,2020,복수학위/캠퍼스아시아사업,2020.2학기,대학원(석),사회환경시스템공학부,일본,규슈대학,,,,,,,,,
128,2021,복수학위/캠퍼스아시아사업,2021.1학기,대학원(석),인지메카트로닉스공학과,일본,규슈대학,,,,,,,,,
129,2021,복수학위/캠퍼스아시아사업,2021.1학기,대학원(석),기계공학부,일본,규슈대학,,,,,,,,,
130,2021,복수학위/캠퍼스아시아사업,2021.1학기,대학원(석),사회환경시스템공학부,일본,규슈대학,,,,,,,,,
131,2021,복수학위/캠퍼스아시아사업,2021.1학기,대학원(석),인지메카트로닉스공학과,일본,규슈대학,,,,,,,,,
132,2021,복수학위/캠퍼스아시아사업,2021.2학기,대학원(석),건축학과,일본,규슈대학,,,,,,,,,
133,2021,복수학위/캠퍼스아시아사업,2021.2학기,대학원(석),건축학과,일본,규슈대학,,,,,,,,,
134,2021,교환,2021.2학기,생명자원과학대학,바이오소재과학과,독일,에어랑엔 뉘른베르크대학,,,,,,,,,
135,2021,교환,2021.2학기,인문대학,일어일문학과,미국,뉴욕주립대학 오스웨이고,,,,,,,,,
136,2021,교환,2021.2학기,인문대학,독어독문학과,독일,아우크스부르크대학,,,,,,,,,
137,2021,교환,2021.2학기,인문대학,불어불문학과,프랑스,보르도몽테뉴대학,,,,,,,,,
138,2021,교환,2021.2학기,생명자원과학대학,원예생명과학과,스페인,폼페우파브라대학,,,,,,,,,
139,2021,교환,2021.2학기,경영대학,경영학과,중국,상해교통대학,,,,,,,,,
140,2021,교환(온라인),2021.2학기,자연과학대학,대기환경과학과,일본,사이타마대학,,,,,,,,,
141,2021,교환,2021.2학기,자연과학대학,생명과학과,독일,뮌헨공대,,,,,,,,,
142,2021,교환,2021.2학기,인문대학,영어영문학과,독일,바이로이트대학,,,,,,,,,
143,2021,교환,2021.2학기,사범대학,지리교육과,독일,오스나뷔르크응용과학대학,,,,,,,,,
144,2021,교환(온라인),2021.2학기,사회과학대학,심리학과,대만,국립정치대학,,,,,,,,,
145,2021,교환/단위기관,2021.2학기,공과대학,건설융합학부 건축학전공,오스트리아,비엔나공과대학,,,,,,,,,
146,2021,교환,2021.2학기,인문대학,사학과,독일,에어랑엔 뉘른베르크대학,,,,,,,,,
147,2021,교환,2021.2학기,생명자원과학대학,식품자원경제학과,영국,서식스대학,,,,,,,,,
148,2021,교환/단위기관,2021.2학기~2022.1학기,인문대학,독어독문학과,독일,라이프니쯔하노버대학,,,,,,,,,
149,2021,교환,2021.2학기,경제통상대학,무역학부,프랑스,앙제대학,,,,,,,,,
150,2021,교환,2021.2학기,경제통상대학,경제학부,벨기에,EPHEC대학,,,,,,,,,
151,2021,교환(온라인),2021.2학기,공과대학,산업공학과,일본,히로시마대학,,,,,,,,,
152,2021,교환,2021.2학기,경제통상대학,관광컨벤션학과,미국,뉴햄프셔대학,,,,,,,,,
153,2021,교환,2021.2학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
154,2021,교환,2021.2학기,인문대학,사학과,독일,바이로이트대학,,,,,,,,,
155,2021,교환,2021.2학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
156,2021,교환,2021.2학기,경제통상대학,공공정책학부,독일,바이로이트대학,,,,,,,,,
157,2021,교환/단위기관,2021.2학기~2022.1학기,인문대학,독어독문학과,독일,라이프니쯔하노버대학,,,,,,,,,
158,2021,교환,2021.2학기,사범대학,지리교육과,아일랜드,더블린시티대학,,,,,,,,,
159,2021,교환,2021.2학기,사회과학대학,심리학과,핀란드,이위베스퀼레대학,,,,,,,,,
160,2021,교환/SAM,2021.2학기,자연과학대학,물리학과,스위스,취리히대학,,,,,,,,,
161,2021,교환,2021.2학기,인문대학,영어영문학과,캐나다,몬트리올대학,,,,,,,,,
162,2021,교환,2021.2학기,경제통상대학,공공정책학부,독일,에어랑엔 뉘른베르크대학,,,,,,,,,
163,2021,교환,2021.2학기,경영대학,경영학과,미국,뉴햄프셔대학,,,,,,,,,
164,2021,교환,2021.2학기,인문대학,불어불문학과,핀란드,이위베스퀼레대학,,,,,,,,,
165,2021,교환,2021.2학기,인문대학,영어영문학과,캐나다,몬트리올대학,,,,,,,,,
166,2021,교환/SAM,2021.2학기,자연과학대학,미생물학과,스위스,취리히대학,,,,,,,,,
167,2021,교환,2021.2학기,스포츠과학부,스포츠과학부,오스트리아,인스부르크 MCI,,,,,,,,,
168,2021,교환/단위기관,2021.2학기~2022.1학기,공과대학,건설융합학부 건축학전공,오스트리아,비엔나공과대학,,,,,,,,,
169,2022,복수학위/캠퍼스아시아사업,2022.1학기,대학원(석),건축학과,일본,규슈대학,,,,,,,,,
170,2022,복수학위/캠퍼스아시아사업,2022.1학기,대학원(석),재료공학부,일본,규슈대학,,,,,,,,,
171,2022,교환/SAM,2022.1학기,인문대학,중어중문학과,중국,북경대학,,,,,,,,,
172,2022,교환/SAM,2022.1학기,인문대학,영어영문학과,네덜란드,에라스무스대학,,,,,,,,,
173,2022,교비/SAM,2022.1학기,대학원,고고학과,중국,북경대학,,,,,,,,,
174,2022,교비/SAM,2022.1학기,인문대학,중어중문학과,중국,북경대학,,,,,,,,,
175,2022,교환/SAM,2022.1학기,인문대학,노어노문학과,스위스,취리히대학,,,,,,,,,
176,2022,교환/SAM,2022.1학기,사회과학대학,미디어커뮤니케이션학과,일본,오사카대학,,,,,,,,,
177,2022,교환/SAM,2022.1학기,자연과학대학,해양학과,스위스,취리히대학,,,,,,,,,
178,2022,교환,2022.1학기,경영대학,경영학과,스페인,폼페우파브라대학,,,,,,,,,
179,2022,교환,2022.1학기,사회과학대학,정치외교학과,일본,지바대학,,,,,,,,,
180,2022,교환,2022.1학기,인문대학,노어노문학과,미국,버지니아 연방주립대학,,,,,,,,,
181,2022,교환,2022.1학기,자연과학대학,화학과,독일,뮌헨응용과학대학,,,,,,,,,
182,2022,교환,2022.1학기,경제통상대학,관광컨벤션학과,프랑스,ESCE 국제경영대학,,,,,,,,,
183,2022,교환,2022.1학기,공과대학,건설융합학부,싱가포르,난양이공대학,,,,,,,,,
184,2022,교환,2022.1학기,인문대학,중어중문학과,중국,화동사범대학,,,,,,,,,
185,2022,교환,2022.1학기,경제통상대학,무역학부,일본,오사카대학,,,,,,,,,
186,2022,교환,2022.1학기,인문대학,독어독문학과,독일,에어랑엔-뉘른베르크대학,,,,,,,,,
187,2022,교환,2022.1학기,경영대학,경영학과,네덜란드,트벤테대학,,,,,,,,,
188,2022,교환,2022.1학기,경영대학,경영학과,스페인,부르고스대학,,,,,,,,,
189,2022,교환,2022.1학기,인문대학,중어중문학과,중국,화동사범대학,,,,,,,,,
190,2022,교환,2022.1학기,경제통상대학,국제학부,스페인,폼페우파브라대학,,,,,,,,,
191,2022,교환,2022.1학기,상과대학,국제통상전공,프랑스,ESCE 국제경영대학,,,,,,,,,
192,2022,교환,2022.1학기,인문대학,중어중문학과,중국,화동사범대학,,,,,,,,,
193,2022,교환,2022.1학기,사범대학,영어교육과,미국,뉴욕주립대학(오스웨고),,,,,,,,,
194,2022,교환,2022.1학기,인문대학,사학과,프랑스,ESCE 국제경영대학,,,,,,,,,
195,2022,교환,2022.1학기,예술대학,예술문화영상학과,핀란드,투르쿠대학,,,,,,,,,
196,2022,교환,2022.1학기,경제통상대학,무역학부,독일,밤베르크대학,,,,,,,,,
197,2022,교환,2022.1학기,인문대학,독어독문학과,독일,만하임대학,,,,,,,,,
198,2022,교환,2022.1학기,공과대학,조선·해양공학과,스페인,데우스토대학,,,,,,,,,
199,2022,교환,2022.1학기,나노과학기술대학,광메카트로닉스공학과,독일,다름슈타트공대,,,,,,,,,
200,2022,교환,2022.1학기,공과대학,고분자공학과,독일,밤베르크대학,,,,,,,,,
201,2022,교환,2022.1학기,스포츠과학부,스포츠과학부,영국,에식스대학,,,,,,,,,
202,2022,교환,2022.1학기,경영대학,경영학과,벨기에,EPHEC 대학,,,,,,,,,
203,2022,교환,2022.1학기,공과대학,기계공학부,독일,다름슈타트공대,,,,,,,,,
204,2022,교환,2022.1학기,공과대학,건설융합학부,독일,바이로이트대학,,,,,,,,,
205,2022,교환,2022.1학기,자연과학대학,물리학과,프랑스,앙제대학,,,,,,,,,
206,2022,교환,2022.1학기,사범대학,영어교육과,미국,뉴욕주립대학(오스웨고),,,,,,,,,
207,2022,교환,2022.1학기,공과대학,전자공학과,영국,에식스대학,,,,,,,,,
208,2022,교환,2022.1학기,경영대학,경영학과,캐나다,몬트리올대학,,,,,,,,,
209,2022,교환,2022.1학기,경제통상대학,국제학부,스페인,폼페우파브라대학,,,,,,,,,
210,2022,교환,2022.1학기,생명자원과학대학,원예생명과학과,싱가포르,난양이공대학,,,,,,,,,
211,2022,교환,2022.1학기,사범대학,불어교육과,프랑스,장조레스뚤레주대학,,,,,,,,,
212,2022,교환,2022.1학기,예술대학,미술학과,스웨덴,쇠데르테른대학,,,,,,,,,
213,2022,교환,2022.1학기,경제통상대학,무역학부,스웨덴,쇠데르테른대학,,,,,,,,,
214,2022,교환,2022.1학기,자연과학대학,분자생물학과,일본,오사카대학,,,,,,,,,
215,2022,교환,2022.1학기,스포츠과학부,스포츠과학부,독일,뮌헨공대,,,,,,,,,
216,2022,교환,2022.1학기,자연과학대학,대기환경과학과,일본,규슈대학,,,,,,,,,
217,2022,교환,2022.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
218,2022,교환,2022.1학기,사회과학대학,정치외교학과,스페인,데우스토대학,,,,,,,,,
219,2022,교환,2022.1학기,인문대학,일어일문학과,캐나다,몬트리올대학,,,,,,,,,
220,2022,교환,2022.1학기,자연과학대학,미생물학과,독일,비아드리나유럽대학,,,,,,,,,
221,2022,교환,2022.1학기,인문대학,독어독문학과,독일,아우크스부르크대학,,,,,,,,,
222,2022,교환,2022.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
223,2022,교환,2022.1학기,경제통상대학,공공정책학부,리투아니아,빌뉴스대학,,,,,,,,,
224,2022,교환,2022.1학기,생활환경대학,실내환경디자인학과,독일,에어랑엔-뉘른베르크대학,,,,,,,,,
225,2022,교환,2022.1학기,공과대학,유기소재시스템공학과,독일,오스나브뤼크응용과학대학 경영 사회과학대,,,,,,,,,
226,2022,교환,2022.1학기,공과대학,건설융합학부,프랑스,ESME 수드리아,,,,,,,,,
227,2022,교환,2022.1학기,인문대학,독어독문학과,독일,아우크스부르크대학,,,,,,,,,
228,2022,교환,2022.1학기,생명자원과학대학,IT응용공학과,독일,뮌헨응용과학대학,,,,,,,,,
229,2022,교환,2022.1학기,생명자원과학대학,생명환경화학과,중국,북경이공대학,,,,,,,,,
230,2022,교환,2022.1학기,공과대학,기계공학부,노르웨이,인랜드노르웨이응용과학대학,,,,,,,,,
231,2022,교환,2022.1학기,공과대학,전기공학과,독일,비아드리나유럽대학,,,,,,,,,
232,2022,교환,2022.1학기,경제통상대학,무역학부,독일,만하임대학,,,,,,,,,
233,2022,교환,2022.1학기,공과대학,기계공학부,미국,뉴햄프셔대학,,,,,,,,,
234,2022,교환,2022.1학기,공과대학,기계공학부,독일,뮌헨공대,,,,,,,,,
235,2022,교환,2022.1학기,예술대학,조형학과,프랑스,앙제대학,,,,,,,,,
236,2022,교환,2022.1학기,경제통상대학,관광컨벤션학과,독일,만하임대학,,,,,,,,,
237,2022,교환,2022.1학기,생명자원과학대학,바이오소재과학과,이탈리아,베네치아카포스카리대학,,,,,,,,,
238,2022,교환,2022.1학기,생활환경대학,식품영양학과,핀란드,이위베스퀼레대학,,,,,,,,,
239,2022,교환,2022.1학기,생활환경대학,실내환경디자인학과,스웨덴,쇠데르테른대학,,,,,,,,,
240,2022,교환,2022.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
241,2022,교환,2022.1학기,인문대학,일어일문학과,스웨덴,쇠데르테른대학,,,,,,,,,
242,2022,교환,2022.1학기,경영대학,경영학과,핀란드,이위베스퀼레대학,,,,,,,,,
243,2022,교환,2022.1학기,공과대학,건설융합학부,프랑스,ESME 수드리아,,,,,,,,,
244,2022,교환,2022.1학기,스포츠과학부,스포츠과학부,노르웨이,인랜드노르웨이응용과학대학,,,,,,,,,
245,2022,교환,2022.1학기,사회과학대학,정치외교학과,싱가포르,싱가포르경영대학,,,,,,,,,
246,2022,교환,2022.1학기,사회과학대학,문헌정보학과,일본,구마모토대학,,,,,,,,,
247,2022,교환,2022.1학기,공과대학,건설융합학부,프랑스,ESME 수드리아,,,,,,,,,
248,2022,교환,2022.1학기,사회과학대학,미디어커뮤니케이션학과,일본,오이타대학,,,,,,,,,
249,2022,교비/글로벌,2022.1학기,인문대학,일어일문학과,몰타,몰타대학,,,,,,,,,
250,2022,교비/글로벌,2022.1학기,생활환경대학,식품영양학과,영국,리즈대학,,,,,,,,,
