프로그램,네덜란드,노르웨이,대만,덴마크,독일,라트비아,러시아,리투아니아,몰타,미국,벨기에,스웨덴,스위스,스페인,싱가포르,아일랜드,에스토니아,영국,오스트리아,이탈리아,일본,중국,체코,캐나다,크로아티아,폴란드,프랑스,핀란드,호주
교비,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
교비/SAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
교비/글로벌,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,3,0,2,0,0,0,0,3
교환,3,6,3,1,83,1,2,5,0,16,2,10,0,26,9,3,1,15,2,3,19,9,2,15,1,3,51,19,7
교환(온라인),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0
교환/SAM,1,0,0,2,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
교환/단위기관,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0
교환/단위기관(온라인),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
교환/캠퍼스아시아사업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
복수학위,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
복수학위/캠퍼스아시아사업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0
자비,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
