id,area,job
4155,Politics,Accountant
4163,Politics,Accountant
3708,Society,Accountant
3919,Society,Accountant
1671,Politics,Environmentalist
2208,Society,Environmentalist
1443,Society,Korean Medicine Doctor
1581,Society,Korean Medicine Doctor
1687,Society,Korean Medicine Doctor
130,Education,Owner of private educational institutue
296,Education,Owner of private educational institutue
3559,Education,Owner of private educational institutue
3559,Education,Owner of private educational institutue
219,Education,Parents
336,Education,Parents
3562,Education,Parents
3562,Education,Parents
3563,Education,Parents
3563,Education,Parents
3622,Society,Parents
3622,Society,Parents
190,Journalism,PD
1147,Culture,Comedian
1148,Culture,Comedian
1490,Culture,Comedian
257,Women,Copywriter
1214,Economy,Publisher
2179,Election,Publisher
231,Culture,Soccer Commentator
232,Culture,Soccer Commentator
1196,Culture,Soccer Commentator
1197,Culture,Soccer Commentator
1199,Culture,Soccer Commentator
74,Culture ,Soccer Commentator
230,Culture,Athlete
389,Culture,Athlete
542,Culture,Athlete
543,Culture,Athlete
544,Culture,Athlete
1955,Culture,Athlete
2621,Culture,Athlete
70,Culture ,Athlete
2423,Society,Athlete
2424,Society,Athlete
2425,Society,Athlete
3671,Society,Athlete
3672,Society,Athlete
3677,Society,Athlete
2252,Sports,Athlete
2253,Sports,Athlete
2255,Sports,Athlete
2256,Sports,Athlete
2257,Sports,Athlete
901,Politics,Officials of President House
1200,Politics,Officials of President House
1461,Politics,Officials of President House
1932,Politics,Officials of President House
2146,Politics,Officials of President House
3434,Politics,Officials of President House
2097,Special,Officials of President House
2196,Culture,Philosopher
1409,Education,Philosopher
2112,Politics,Philosopher
452,Economy,Government officials
1432,Economy,Government officials
985,Society,Government officials
2055,Society,Government officials
1247,Society,Government officials
1038,Labor,Government officials
3733,Economy,Government officials
1529,Education,Government officials
2152,Education,Government officials
4182,Election,Political commentator
4184,Election,Political commentator
2736,N&S.Korea,Political commentator
113,Politics,Political commentator
439,Politics,Political commentator
569,Politics,Political commentator
817,Politics,Political commentator
1542,Politics,Political commentator
2237,Politics,Political commentator
2330,Politics,Political commentator
2547,Politics,Political commentator
2572,Politics,Political commentator
2574,Politics,Political commentator
2595,Politics,Political commentator
2618,Politics,Political commentator
2634,Politics,Political commentator
2644,Politics,Political commentator
2652,Politics,Political commentator
2653,Politics,Political commentator
2659,Politics,Political commentator
2666,Politics,Political commentator
2683,Politics,Political commentator
2692,Politics,Political commentator
2696,Politics,Political commentator
2702,Politics,Political commentator
2703,Politics,Political commentator
2719,Politics,Political commentator
2774,Politics,Political commentator
2801,Politics,Political commentator
2829,Politics,Political commentator
2839,Politics,Political commentator
2893,Politics,Political commentator
3027,Politics,Political commentator
3654,Politics,Political commentator
3654,Politics,Political commentator
3655,Politics,Political commentator
3655,Politics,Political commentator
3950,Politics,Political commentator
