,date,title,content,gall_name
0,2023.02.07 15:45,<더불어민주당 전국대학생위원회 발대식 연기 안내>,<더불어민주당 전국대학생위원회 발대식 연기 안내> 안녕하십니까. 더불어민주당 대학생 당원동지 여러분. 다가오는 10일 예정되었던 더불어민주당 전국대학생위원회 발대식을 부득이하게 연기하게 되었습니다...,더불어민주당
1,2023.02.11 20:48,[매일신문 칼럼] 정치가 문제다: 더불어민주당(한동훈),https://n.news.naver.com/article/088/0000798035?sid=110 [홍성걸 칼럼] 정치가 문제다: 더불어민주당 더불어민주당은 누가 뭐래도 한국 정치사에서 가장 오래된 정당의 후예다. 민주당은 광복 직후 보수우파...,기타 국내 드라마
2,2023.02.02 14:18,(메이플폭로)더불어 민주당은 하루빨리 당 대표 이재명을 버려야하죠,"김건희 영부인을 열심히 공격을 해봐야..... 더불어 민주당 당 대표의 이재명님의 범죄 혐의가 없어지는 것 아닌데요.(보복 심리가 발동해서,김건희 영부인을 공격하죠)",메이플스토리
3,2023.02.12 18:06,더불어민주당하고 통진당하고 뭐가 다른데 분탕년들아~,게 더불어고 중국에 붙어서 대한민국의 이권을 파괴시키고 대한민국을 절단 내려한 괴수 문재앙이 더불어민주당이고 위안부 할머니들 돈문제 윤미향이 더불어고 북한간부하고 접촉한 간첩도 더불어인 윤미향...,권유
4,2023.02.06 14:43,"더불어민주당 광주광역시당, 당 지지도 보고 '당황'","https://n.news.naver.com/article/079/0003734527?sid=102 더불어민주당 광주광역시당, 당 지지도 보고 '당황' 더불어민주당 광주광역시당이 최근 주요 사회 정치 현안에 대해 휴대전화 설문조사를 진행하면서...",이재명
5,2023.02.07 14:39,그알에도 나온 전라도 조폭 정리해준다 노조 전라도 더불어민주당,조폭새끼가 5.18 회장인기라 이런색기들이 매년 유공자 팔이 감성팔이 리본팔이 해가메 우리 세금으로 보조금빼묵고 지원금 빼묵고 하는 기라 노동조합 = 전라도 = 더불어민주당 = 빨갱이 = 건달 국룰인기라 그기,팝콘TV
6,2023.01.21 02:25,난 윤석열 반대하지만 지금의 더불어민주당은 지지 안한다,문재인 정권 이후의 더불어민주당은 진보의 탈을 쓴 수꼴임 내가 젤 싫어하는 것이 항상 정의롭게 살자고 떠드는 사람임 보수놈들은 탐욕에 물든 놈들이고 자기네가 가장 깨끗하다고? 그렇게 말하는 사람 치고...,부동산
7,2022.12.18 03:08,더불어민주당과 국민의 힘 차이.,"이것은 더불어민주당 역대 정권 및 현 더불어민주당 대표인 이잼(이재명). 아시아의 만델라인 김대중 전 대통령, 탈권위-지방분권의 노무현 전 대통령 그리고 국격(국제적 위상) 상승, 보건복지 정책 확립의...",최강욱
8,2023.01.22 21:05,두 짤로 알아보는 더불어민주당의 좌경화,더불어민주당의 원시 전신 한국민주당의 창당 주역 조병옥 현재 더불어민주당 대표 이재명 - dc official App,국내보수
9,2023.02.07 14:46,그알에도 나온 전라도 조폭 정리해준다 노조 전라도 더불어민주당,이런 놈들이 매년 유공자 팔이 감성팔이 리본팔이 해서 사골에 육수에 우려서 우리 세금으로 보조금빼묵고 지원금 빼묵고 하는 거다 노동조합 = 전라도 = 더불어민주당 = 빨갱이 = 건달 국룰이다 백번 암기해라,"정치, 사회"
